1:[-40.0, 72.0]
9073:[-78.9388888888889, 36.00111111111111]
9077:[-86.929, 40.424]
9079:[-5.934722222222223, 54.58416666666667]
9080:[-88.31, 43.02]
9081:[-87.0436111111111, 41.46361111111111]
9082:[-87.11666666666666, 41.85]
9084:[-79.5044, 43.7707]
9085:[-79.4, 43.7]
9088:[-2.248, 53.789]
9090:[-74.011478, 40.890317]
9091:[-74.07, 40.96]
9094:[-94.12666666666667, 30.08]
9095:[-86.0, 36.0]
9097:[-122.33305555555555, 47.609722222222224]
9098:[-72.65, 42.333333333333336]
9099:[-72.66, 42.34]
9100:[-72.67416666666666, 41.7625]
9101:[-72.7, 41.6]
9103:[-83.61833333333333, 42.24277777777778]
9105:[-118.33333333333333, 34.1]
9106:[-116.37444444444444, 33.72222222222222]
9107:[-73.964741, 40.768538]
9108:[-1.2286111111111113, 52.76833333333333]
9110:[-77.72, 39.64277777777778]
9111:[-96.41666666666667, 16.9]
9112:[-77.86277777777777, 40.79611111111111]
9113:[-77.82, 40.91]
9115:[12.383333333333333, 51.333333333333336]
9118:[-84.89055555555557, 39.83027777777778]
9121:[71.32, 34.0]
9122:[-89.66, 39.76]
9124:[-0.2, 5.55]
9125:[-85.0, 37.5]
9127:[14.506944444444445, 35.88444444444444]
9128:[-123.8, 40.8]
9130:[-72.638139, 42.318119]
9132:[-71.06369, 42.35817]
9136:[14.416666666666666, 50.083333333333336]
9137:[15.0, 50.0]
9138:[-112.06666666666666, 33.45]
9139:[-85.62222222222222, 44.768055555555556]
9140:[-81.60908333333333, 41.511966666666666]
9141:[-81.66972222222223, 41.48222222222223]
9143:[-0.39569444444444446, 51.655]
9144:[0.41, 52.24]
9148:[-3.1888888888888887, 55.95305555555556]
9149:[-118.25, 34.05]
9150:[-83.64861111111112, 32.82916666666667]
9151:[-83.5, 33.0]
9153:[36.81666666666667, -1.2797222222222222]
9154:[-117.42500000000001, 47.65888888888889]
9156:[-118.255, 34.14611111111111]
9157:[-70.19250000000001, 44.097500000000004]
9158:[-69.0, 45.5]
9163:[-118.32833333333333, 34.180277777777775]
9164:[-122.34777777777778, 37.93583333333333]
9165:[-121.95, 37.93]
9167:[-1.71, 52.19]
9168:[-2.29, 52.47]
9169:[-111.96111111111111, 41.22777777777778]
9170:[-111.92, 41.3]
9171:[-111.0, 39.0]
9174:[-118.418, 33.97]
9176:[-118.00027777777778, 33.69277777777778]
9177:[-122.91111111111111, 49.206944444444446]
9178:[-86.27916666666667, 32.361666666666665]
9179:[-86.7, 32.7]
9180:[-90.87527777777777, 32.336111111111116]
9181:[172.581944, -43.523333]
9183:[-73.61722222222221, 40.70472222222222]
9184:[-71.05, 42.31666666666667]
9185:[-118.8, 36.23]
9186:[-2.5833333333333335, 51.45]
9188:[-74.03, 41.15]
9189:[-75.405657, 43.052364]
9190:[-0.4577, 52.1337]
9191:[-122.93, 38.51]
9192:[-122.70472222222223, 38.448611111111106]
9193:[2.3508, 48.8567]
9195:[-122.6525, 47.57]
9196:[-104.80194444444444, 41.14555555555555]
9199:[13.733333333333333, 51.03333333333333]
9200:[21.016666666666666, 52.233333333333334]
9201:[27.566666666666666, 53.9]
9202:[-0.267, 51.336]
9203:[-84.41527777777779, 33.74666666666667]
9205:[-117.1825, 34.05472222222222]
9206:[-93.28079, 37.19971]
9207:[-123.09, 45.56]
9208:[-120.5, 44.0]
9209:[-122.98333333333333, 45.516666666666666]
9210:[-8.75, 52.5]
9211:[-76.61666666666666, 39.28333333333333]
9213:[76.9525, 8.487499999999999]
9214:[77.0, 8.5]
9216:[-123.1, 49.25]
9218:[30.0, 50.0]
9219:[-79.51666666666667, 8.983333333333333]
9220:[-123.365, 48.422]
9221:[-125.0, 54.0]
9222:[-78.76277777777777, 39.647777777777776]
9223:[-78.69, 39.63]
9225:[12.133333333333333, 54.083333333333336]
9226:[-0.131312, 50.842941]
9227:[24.74527777777778, 59.43722222222222]
9228:[-2.1, 57.165]
9229:[-2.11, 57.1526]
9231:[11.033333333333333, 50.983333333333334]
9232:[-82.41305833333334, 28.054561111111113]
9233:[-123.25305555555556, 49.26111111111111]
9234:[-119.4436, 49.8801]
9235:[-75.6976, 45.3831]
9236:[36.29194444444444, 33.51305555555555]
9237:[7.01725, 43.55086111111111]
9238:[0.11666666666666667, 52.20416666666667]
9239:[0.119, 52.205]
9241:[-86.45555555555556, 36.986111111111114]
9243:[-85.74166666666666, 38.22533333333333]
9245:[-4.316, 51.856]
9247:[-150.0, 64.0]
9248:[-122.13805555555557, 37.42916666666667]
9249:[-121.97, 37.36]
9250:[-13.234444444444444, 8.484444444444444]
9251:[-0.9455555555555556, 51.44194444444444]
9252:[-1.0, 51.416666666666664]
9255:[-7.583333333333333, 33.53333333333333]
9258:[-73.6517, 40.7202]
9259:[-7.5, 52.25]
9260:[12.716666666666667, 41.9]
9261:[12.5, 41.9]
9262:[-120.5, 46.6]
9263:[-122.68527777777778, 45.51277777777778]
9264:[-122.68194444444445, 45.519999999999996]
9265:[-112.027031, 46.595805]
9266:[-110.0, 47.0]
9267:[-73.3, 40.8]
9268:[-72.68, 40.94]
9271:[0.11666666666666667, 52.20805555555556]
9273:[11.55, 45.55]
9275:[-80.2088888888889, 25.775277777777777]
9276:[-88.6275, 37.07222222222222]
9277:[-0.14297222222222222, 51.516999999999996]
9278:[-81.78403055555556, 24.559166666666666]
9280:[10.316666666666666, 43.55]
9283:[-122.96666666666667, 49.266666666666666]
9285:[41.0, 29.0]
9286:[174.77, -36.85]
9287:[-71.11298, 42.38006]
9288:[-71.11055555555555, 42.37361111111111]
9289:[110.0, -7.5]
9290:[110.00444444444445, -7.491666666666667]
9291:[9.22732, 45.47803]
9292:[80.26666666666667, 13.083333333333334]
9294:[-119.91, 37.58]
9295:[-77.69, 43.3]
9297:[75.84, 30.79]
9298:[75.85, 30.91]
9301:[-118.25, 35.0569]
9302:[-72.547455, 42.112411]
9303:[-72.63, 42.14]
9304:[-122.20055555555555, 47.96333333333334]
9305:[-121.71, 48.04]
9306:[-74.44, 42.91]
9308:[4.093055555555555, 51.98111111111111]
9309:[7.5, 48.5]
9310:[78.0787925, 27.9150085]
9311:[80.91, 26.85]
9315:[-122.0375, 37.37111111111111]
9318:[-75.15325, 40.03925]
9319:[-75.16666666666667, 39.95]
9321:[77.2088888888889, 28.61388888888889]
9324:[-77.79055555555556, 35.93833333333333]
9325:[7.166666666666667, 43.833333333333336]
9326:[7.2663, 43.7034]
9329:[-72.59, 42.58]
9331:[2.3302777777777774, 48.88777777777778]
9332:[-78.481307, 42.078094]
9333:[12.379, 51.339]
9334:[-105.26722222222222, 40.00666666666667]
9335:[-105.251945, 40.027435]
9336:[-81.80027777777778, 41.48083333333334]
9337:[-81.66, 41.54]
9339:[-3.2261, 54.1108]
9340:[-0.417478, 51.879728]
9343:[-73.9635, 40.8096]
9344:[-74.1448388888889, 40.576280555555556]
9345:[-1.317, 51.062]
9346:[-1.308, 51.0632]
9347:[71.0, 39.0]
9348:[-71.08333333333333, 42.78333333333333]
9351:[-0.9730555555555556, 51.45416666666667]
9357:[-95.44, 29.17]
9360:[5.95, 52.06]
9361:[-2.1333333333333333, 52.583333333333336]
9365:[-77.045, 38.8988]
9366:[-73.845, 40.935]
9368:[12.639999999999999, 51.25]
9370:[10.75, 59.95]
9371:[-73.77, 44.11]
9373:[-89.333847, 31.329638]
9374:[-89.3086111111111, 31.315833333333334]
9375:[-105.08097777777778, 40.57483611111111]
9376:[-105.07805555555555, 40.55916666666666]
9377:[-81.92, 26.58]
9379:[-96.38333333333334, 19.433333333333334]
9380:[-105.5, 39.0]
9382:[0.263, 51.132]
9384:[-71.1, 42.3875]
9385:[-71.39, 42.49]
9387:[-110.802414, 43.741208]
9388:[-107.5, 43.0]
9390:[-1.21, 54.69]
9391:[-1.4708333333333334, 53.37027777777778]
9392:[-1.4669444444444446, 53.38361111111111]
9393:[-79.686, 44.39]
9394:[-85.0, 50.0]
9395:[-82.364, 34.873]
9398:[-114.61527777777778, 32.69222222222222]
9399:[28.955, 41.01361111111111]
9400:[-115.1363888888889, 36.175]
9401:[-122.27083333333333, 37.80444444444444]
9402:[-122.28333333333333, 37.75]
9404:[3.2333333333333334, 51.21666666666667]
9405:[-2.273, 53.003]
9407:[0.94487, 51.87633]
9408:[0.903, 51.8917]
9409:[-72.65083333333334, 41.56222222222222]
9411:[-122.11, 47.05]
9412:[-122.45944444444444, 47.24138888888889]
9413:[23.583333333333332, 46.766666666666666]
9415:[-73.9995, 40.7305]
9416:[-73.95972222222223, 40.790277777777774]
9417:[-71.06361111111111, 42.35805555555556]
9419:[139.75359444444445, 35.694002777777776]
9421:[-122.41527777777779, 37.78055555555555]
9422:[-122.41666666666667, 37.78333333333333]
9424:[-6.277777777777778, 53.37222222222222]
9425:[-6.259722222222222, 53.34777777777778]
9426:[-2.4769, 53.7449]
9427:[-2.6, 53.8]
9430:[3.7333333333333334, 51.05]
9432:[-80.425, 37.225]
9433:[-81.31444444444445, 29.89472222222222]
9434:[139.63805555555555, 35.44416666666666]
9435:[120.98930555555556, 14.60986111111111]
9436:[-1.1333333333333333, 52.95]
9437:[88.36222222222221, 22.57638888888889]
9438:[88.36666666666666, 22.566666666666666]
9443:[-76.30444444444444, 40.03972222222222]
9445:[-74.246635, 40.743144]
9446:[-74.5, 40.0]
9447:[11.330555555555556, 43.31861111111112]
9450:[-117.16, 46.73]
9451:[-75.967, 42.0888]
9452:[18.0, 35.0]
9455:[-118.28154166666667, 34.02320833333333]
9456:[-81.51777777777778, 41.073055555555555]
9457:[-81.53, 41.13]
9458:[-84.05, 43.33]
9459:[-71.09527777777777, 42.325]
9461:[4.666666666666667, 52.0]
9462:[4.316666666666666, 52.083333333333336]
9467:[5.0428, 47.2906]
9469:[-73.77733333333333, 42.652363888888885]
9470:[-77.17750000000001, 38.93416666666666]
9471:[-85.58805555555556, 42.930277777777775]
9473:[5.7222, 45.2002]
9474:[-122.06, 37.0]
9475:[-1.78, 51.56]
9476:[-74.0138, 40.7179]
9478:[-92.41666666666667, 16.416666666666668]
9479:[2.328469444444444, 48.854172222222225]
9480:[-96.68027777777779, 40.81055555555555]
9485:[-106.63277777777778, 52.12972222222222]
9486:[-106.68333333333334, 52.13333333333333]
9487:[-71.21, 43.87]
9489:[-71.42222222222223, 41.82361111111111]
9490:[-77.019004, 39.004242]
9492:[-119.57278, 37.73083]
9494:[-84.24722222222222, 43.61555555555556]
9497:[-82.98333333333333, 39.983333333333334]
9498:[-83.01, 39.97]
